id,name,breed,color,sex,age,weight,birthDate,bredDate,breedingDate,expectedDueDate,sire,dam,pedigree,status,notes,lambings,weights,breedings
sheep-1764818974160-145,36,,White,Ewe,5 years 10 months,165,2020-02-02,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,,,active,,"[{""date"":""2025-04-06"",""count"":1,""children"":[""sheep-1764818974159-93""]},{""date"":""2025-03-21"",""count"":1,""children"":[""sheep-1764818974158-70""]},{""date"":""2024-08-02"",""count"":1,""children"":[""sheep-1764818974163-289""]},{""date"":""2023-10-22"",""count"":1,""children"":[""sheep-1764818974160-136""]},{""date"":""2022-12-28"",""count"":1,""children"":[""sheep-1764818974163-286""]},{""date"":""2022-01-04"",""count"":1,""children"":[""sheep-1764818974160-162""]}]","[{""date"":""2025-12-18"",""weight"":165}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974157-29,83,,White Speckled Brown,Ewe,4 years 9 months,160,2021-03-04,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,,,active,,"[{""date"":""2025-01-15"",""count"":2,""children"":[""sheep-1764818974162-235"",""sheep-1764818974162-238""]},{""date"":""2024-03-26"",""count"":2,""children"":[""sheep-1764818974160-128"",""sheep-1764818974159-114""]},{""date"":""2023-01-04"",""count"":1,""children"":[""sheep-1764818974158-89""]}]","[{""date"":""2025-12-18"",""weight"":160}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974157-56,89,,White,Ewe,6 years 9 months,160,2019-02-27,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,,,active,culled,"[{""date"":""2025-03-27"",""count"":1,""children"":[""sheep-1764818974157-59""]},{""date"":""2024-07-31"",""count"":1,""children"":[""sheep-1764818974161-215""]},{""date"":""2023-09-23"",""count"":2,""children"":[""sheep-1764818974162-251"",""sheep-1764818974162-254""]},{""date"":""2023-01-05"",""count"":1,""children"":[""sheep-1764818974160-129""]}]","[{""date"":""2025-12-18"",""weight"":160}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974161-175,96,,White with Red Speckles,Ewe,3 years 9 months,140,2022-03-15,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,,,active,,"[{""date"":""2025-01-16"",""count"":2,""children"":[""sheep-1764818974158-87"",""sheep-1764818974158-82""]},{""date"":""2024-03-23"",""count"":2,""children"":[""sheep-1764818974164-348"",""sheep-1764818974159-118""]}]","[{""date"":""2025-12-18"",""weight"":140}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974161-221,102,,Med Brown,Ewe,3 years 9 months,160,2022-03-15,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,,,active,,"[{""date"":""2025-01-12"",""count"":1,""children"":[""sheep-1764818974162-258""]},{""date"":""2024-04-08"",""count"":1,""children"":[""sheep-1764818974161-212""]}]","[{""date"":""2025-12-18"",""weight"":160}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974164-335,108,,White with Brown Speckles,Ewe,2 years,130,2023-12-23,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,,,active,infected ear tag 200l,"[{""date"":""2025-03-14"",""count"":1,""children"":[""sheep-1764818974157-48""]}]","[{""date"":""2025-12-18"",""weight"":130}]","[{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974158-84,111,,Red,Ewe,5 years 10 months,140,2020-02-02,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,,,active,,"[{""date"":""2025-04-03"",""count"":1,""children"":[""sheep-1764818974157-57""]},{""date"":""2025-01-06"",""count"":2,""children"":[""sheep-1764818974160-147"",""sheep-1764818974161-179""]},{""date"":""2024-08-08"",""count"":3,""children"":[""sheep-1764818974157-38"",""sheep-1764818974158-80"",""sheep-1764818974163-294""]},{""date"":""2024-01-05"",""count"":1,""children"":[""sheep-1764818974158-79""]}]","[{""date"":""2025-12-18"",""weight"":140}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974160-168,113,,Light Brown,Ewe,8 months,80,2025-04-09,,,,,,,active,,"[{""date"":""2025-03-25"",""count"":2,""children"":[""sheep-1764818974157-45"",""sheep-1764818974157-44""]},{""date"":""2024-08-06"",""count"":1,""children"":[""sheep-1764818974162-268""]}]","[{""date"":""2025-12-18"",""weight"":80}]",
sheep-1764818974162-261,115,,White,Ewe,3 years 10 months,170,2022-02-09,,,,,,,active,,,"[{""date"":""2025-12-18"",""weight"":170}]",
sheep-1764818974164-331,118,,White,Ewe,10 months,100,2025-01-29,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,Tagless,,active,,"[{""date"":""2025-09-03"",""count"":2,""children"":[""sheep-1764821185007-11"",""sheep-1764821185007-10""]},{""date"":""2025-01-08"",""count"":2,""children"":[""sheep-1764818974164-327"",""sheep-1764818974160-170""]}]","[{""date"":""2025-12-18"",""weight"":100}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764821185006-2,119,,Red,Ewe,8 months,90,2025-04-06,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,60L,,active,,,"[{""date"":""2025-12-18"",""weight"":90}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974163-302,121,Katadin,White,Ewe,2 years 8 months,140,2023-04-05,,,,,,,active,,"[{""date"":""2025-09-04"",""count"":1,""children"":[""sheep-1764821185007-6""]},{""date"":""2025-01-18"",""count"":1,""children"":[""sheep-1764818974161-218""]}]","[{""date"":""2025-12-18"",""weight"":140}]",
sheep-1764818974159-95,122,,White,Ewe,3 years 11 months,160,2022-01-04,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,36,,active,,"[{""date"":""2025-01-06"",""count"":2,""children"":[""sheep-1764818974161-184"",""sheep-1764818974161-180""]},{""date"":""2023-12-23"",""count"":3,""children"":[""sheep-1764818974159-95"",""sheep-1764818974159-94"",""sheep-1764818974160-165""]},{""date"":""2023-12-21"",""count"":1,""children"":[""sheep-1764818974164-318""]},{""date"":""2023-03-09"",""count"":3,""children"":[""sheep-1764818974157-34"",""sheep-1764818974161-196"",""sheep-1764818974161-200""]}]","[{""date"":""2025-12-18"",""weight"":160}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
